ACC_Weekend,Weekend
AUF_signIn,"Sign In"
AUF_signingIn,"Signing in…"
AUTH_FLOW_cancelLogoutButtonText,"Cancel Log Out"
AUTH_FLOW_drivePromptTitleText,"You're Still In Drive"
AUTH_FLOW_driveTitleInfoCompletion,Drive
AUTH_FLOW_dutyStatusChangeNote,"Logged out of device"
AUTH_FLOW_goOFFLogoutButtonText,"Go OFF DUTY and Log Out"
AUTH_FLOW_goONLogoutButtonText,"Go ON DUTY and Log Out"
AUTH_FLOW_goSBLogoutButtonText,"Go in SB and Log Out"
AUTH_FLOW_loggingOutButtonText,"Logging Out…"
AUTH_FLOW_onDutyPromptTitleText,"You're Still On Duty"
AUTH_FLOW_onDutyTitleInfoCompletion,"On Duty"
AUTH_FLOW_promptInfoText,"Please select a duty status before logging out."
AUTH_FLOW_remainInDriveLogoutButtonText,"Remain in DRIVE and Log Out"
AUTH_FLOW_remainOnDutyLogoutButtonText,"Remain ON DUTY and Log Out"
AU_error_OOPS,"Oops, Something went wrong."
AU_error_askForHelp,"Oops, Something went wrong.\nTap here to get help."
AU_error_enterValidEmailPhone,"Please enter a valid email address or phone number."
AU_error_enterValidPassword,"Please enter a valid password."
AU_error_httpGone,"Oops, Something went wrong.\nPlease check your internet connection."
AU_error_invalidEmail,"Please enter a valid email address."
AU_error_invalidPhoneNumber,"Please enter a valid phone number."
AU_error_passwordMismatch,"Passwords do not match."
BCBW_checked,Checked
BCBW_unchecked,Unchecked
BSD_title,"Scanning Barcode"
BSD_warning,"Barcode `%1$s` is not a valid %2$s"
BSD_warningEmpty,"Barcode is not a valid %1$s"
CAMFRAG_alignment_overlay_text,"Match Paper to Frame"
CAMFRAG_alignment_overlay_text,"Match Paper to Frame"
CAMFRAG_detection_result_bad_angle,"Bad angle"
CAMFRAG_detection_result_bad_angle,"Bad angle"
CAMFRAG_detection_result_dark,"Too dark"
CAMFRAG_detection_result_dark,"Too dark"
CAMFRAG_detection_result_noisy,"Too noisy"
CAMFRAG_detection_result_noisy,"Too noisy"
CAMFRAG_detection_result_nothing,"Can't find doc"
CAMFRAG_detection_result_nothing,"Can't find doc"
CAMFRAG_detection_result_off_center,"Off center"
CAMFRAG_detection_result_off_center,"Off center"
CAMFRAG_detection_result_ok,OK
CAMFRAG_detection_result_ok,OK
CAMFRAG_detection_result_perspective,"Bad perspective"
CAMFRAG_detection_result_perspective,"Bad perspective"
CAMFRAG_detection_result_small,"Move closer"
CAMFRAG_detection_result_small,"Move closer"
CAMFRAG_error_camera_connect,"Unable to connect to the camera at this time."
CAMFRAG_error_camera_connect,"Unable to connect to the camera at this time."
CAMFRAG_error_request_permission,"Unable to obtain camera permissions at this time."
CAMFRAG_error_request_permission,"Unable to obtain camera permissions at this time."
CAMFRAG_hold_device_still,"Taking photo. Hold device still."
CAMFRAG_hold_device_still,"Taking photo. Hold device still."
CAMFRAG_instruction,"Take photo of %1$s"
CAMFRAG_instruction,"Take photo of %1$s"
CAMFRAG_processing,Processing…
CAMFRAG_processing,Processing…
CETB_editButtonText,Edit
CF_barcodeTypeProNumber,"PRO Number"
CF_barcodeTypeProNumber,"PRO Number"
CF_invalidBarcodesFound,"Invalid %1$s found"
CF_invalidBarcodesFound,"Invalid %1$s found"
CF_noBarcodesFound,"No %1$s found"
CF_noBarcodesFound,"No %1$s found"
CF_validBarcodesFound,"%1$s %2$s found"
CF_validBarcodesFound,"%1$s %2$s found"
CL_autoLogoutPopup_buttonText,Dismiss
CL_autoLogoutPopup_text,"You've been automatically put off duty for having a shift lasting longer than 24 hours"
CL_breakFinishedAlert_audio,"Break timer reached zero. If finished, please press the finish button to mark your break completed"
CL_breakFinishedAlert_inapp,"Break time complete\nPress finish button"
CL_breakFinishedAlert_notification,"Break complete. Click to open app and mark finished."
CL_halfHourAlert_meal_audio,"Hi, this is your Maven rest reminder. Regulations call for a 30 minute break in the next half hour. Drive safe."
CL_halfHourAlert_meal_audio_first,"Hi, this is your Maven rest reminder. Regulations call for a 30 minute break in the next half hour. Drive safe."
CL_halfHourAlert_meal_inapp,"Meal Required\n30-Minute Meal Break"
CL_halfHourAlert_meal_inapp_first,"Meal Required\n30-Minute Meal Break"
CL_halfHourAlert_meal_notification,"Stop for 30-Minute Meal Break soon"
CL_halfHourAlert_meal_notification_first,"Stop for 30-Minute Meal Break soon"
CL_halfHourAlert_ten_audio,"Hi, this is your Maven rest reminder. Regulations call for a 10 minute break in the next half hour.  Drive safe."
CL_halfHourAlert_ten_audio_first,"Hi, this is your Maven rest reminder service. My job is to inform you to take your paid 10 minute break. This alert marks thirty minutes before you hit 4 hours of service. Drive safe."
CL_halfHourAlert_ten_inapp,"Rest Required\n10-Min Paid Break"
CL_halfHourAlert_ten_inapp_first,"30 Minutes left\nBreak soon!"
CL_halfHourAlert_ten_notification,"Stop for 10-minute Break soon."
CL_halfHourAlert_ten_notification_first,"CA Law requires Break"
CL_help_dialog_title,"The California Labor Law"
CL_help_text_1,"The CA Labor Law (C. 226. 7) requires you to take a 10 minute paid break and a 30 minute break every 4 and 5 hours respectively while you are on duty.\n\nWith Maven, staying compliant and tracking these breaks is easy. Alerts are sent throughout the day to help you manage these rest requirements."
CL_help_text_2,"To start your shift, press and hold the ""Go On Duty"" button for 2 seconds. Immediately, two timers count down the time left before your 10 or 30 minute breaks."
CL_help_text_3,"To take a break, slide up the timer bar and press and hold the respective ""Take Break"" button to confirm your break."
CL_help_text_4,"Now a timer shows the remaining break time. To finish the break, at any time press and hold the ""Finish Break"" button for 2 seconds."
CL_help_text_5,"To Go Off Duty, slide the timer bar up and press and hold the ""Go Off Duty"" button for 2 seconds. Finally, you'll be taken to your daily summary to review your day."
CL_help_text_6,"Drive Safe!"
CL_onDutyPopup_buttonText1,"Continuing Work Day"
CL_onDutyPopup_buttonText2,"New Work Day"
CL_onDutyPopup_text,"Are you continuing your previous work day or starting a new one?"
CL_stoppedDrivingAlert_audio,"Hi, this is your Maven rest reminder. Is now a good time to start your required 10 minute break? If not, I can remind you later."
CL_stoppedDrivingAlert_audio_first,"	Hi, welcome to your new Maven Co-Pilot. I am here to help you comply with California labor law. The law states you must take a 10 minute break in the first 4 hours of service. Sensing your truck is stopped, I will briefly remind you this may be an efficient break time. Drive safe."
CL_stoppedDrivingAlert_inapp,"Maven Break Alert\n10 min Rest Now?"
CL_stoppedDrivingAlert_inapp_first,"CA Law says 10 min\nBreak in first 4 hrs\nBreak Now?"
CL_stoppedDrivingAlert_notification,"Good time for a 10-minute break?"
CL_stoppedDrivingAlert_notification_first,"Take 10-minute Break? CA Law requirement."
CL_twoHourAlert_audio,"Hi, this is your Maven Co-Pilot with an early reminder. You have two hours remaining to complete your paid 10 minute break. Drive safe."
CL_twoHourAlert_audio_first,"Hi, welcome to your new Maven Co-Pilot. I am here to help you comply with California labor law. The law states you must take a 10 minute break in the first 4 hours of service. You have been on duty for two hours, and so, have two hours left to complete a 10 minute paid break. Drive safe."
CL_twoHourAlert_inapp,"On duty = 2 hrs\nPlan a 10-minute break!"
CL_twoHourAlert_inapp_first,"CA Law says 10-minute\nBreak in first 4 hrs\nPlan a break!"
CL_twoHourAlert_notification,"Friendly Maven break reminder"
CL_twoHourAlert_notification_first,"Plan a 10-minute Break by CA Law"
CSTB_saveButtonText,Save
CUDEF_drivesCountAndMilesText,"%1$d movements  %2$.2f miles"
CUDEF_previousEightDays,"Previous 8 days"
CUDEI_claimedButtonText,Claimed
CUTF_backButtonText,Back
CUTF_errorClaimingMovements,"Error claiming the movements for %s"
CUTF_errorConflictingMovements,"Error! You have a conflicting movement."
CUTF_errorFetchingMovements,"You must be online to claim vehicle movements."
CUTF_toolbarTitleText,"Claim Unassigned Trips"
CUTF_tripDistanceText,"%1$.2f mi."
CUTF_tripLocationText,"%1$s to %2$s"
CUTF_tripTimeText,"%1$s — %2$s"
CW_trip_tripActiveCompletedOnTitle,"TRIP COMPLETED on"
CW_trip_tripActiveCompletedTitle,"TRIP COMPLETED:"
CW_trip_tripActiveTimeTitle,"ACTIVE TIME:"
CW_trip_tripStartedOnTitle,"TRIP STARTED on"
CW_trip_tripStartedTitle,"TRIP STARTED:"
CW_workflow_action_accept_trip,"Accept Trip"
CW_workflow_action_arrive_stop,"Arrive Stop"
CW_workflow_action_depart_stop,"Depart Stop"
CW_workflow_action_end_trip,"Complete Trip"
CW_workflow_action_skip_stop,"Skip Stop"
CW_workflow_action_start_trip,"Start Trip"
CW_workflow_action_submit_form,"Submit Form"
CW_workflow_action_swap,"Complete Swap"
DD_notificaiton_speech_lunch_stop_added,"New Message │ %1$s. Lunch Stop added."
DD_notification_speech_close_time,"Close time %1$s."
DD_notification_speech_new_message,"New message %1$s. From %2$s: %3$s"
DD_notification_speech_route_added,"New Message │ %1$s. New route added."
DD_notification_speech_route_rearranged,"New Message │ %1$s. Route rearranged."
DD_notification_speech_stop_added,"New message │ %1$s. %2$s added. %3$s. %4$s %5$s."
DD_notification_speech_stop_cancelled,"New message │ %1$s. %2$s canceled. %3$s. %4$s %5$s."
DD_notification_speech_stop_modified,"New message │ %1$s. %2$s modified. %3$s. %4$s %5$s."
DD_notification_speech_stop_removed,"New message │ %1$s. %2$s removed. %3$s. %4$s %5$s."
DD_notification_speech_stop_split,"New message │ %1$s. %2$s split. %3$s. %4$s %5$s."
DD_notification_speech_target_type_delivery,delivery
DD_notification_speech_target_type_pickup,pickup
DL_completeStop,"To use Maven, bring the vehicle to a complete stop."
DL_inMotion,"Vehicle In Motion"
DOTDHF_carrierInformation_USDOTNumber,"USDOT #"
DOTDHF_carrierInformation_carrierNameKey,Carrier
DOTDHF_carrierInformation_title,Carrier
DOTDHF_currentDriveInformation_currentLocationKey,"Current Location"
DOTDHF_currentDriveInformation_dataDiagnosticKey,"Driver’s Data Diagnostic Status"
DOTDHF_currentDriveInformation_exemptDriverStatusKey,"Exempt Driver Status"
DOTDHF_currentDriveInformation_malfunctionIndicatorKey,"ELD Malfunction Indicators"
DOTDHF_currentDriveInformation_milesTodayKey,"Miles Today"
DOTDHF_currentDriveInformation_shippingIdKey,"Shipping ID"
DOTDHF_currentDriveInformation_title,"Current Drive"
DOTDHF_currentDriveInformation_unidentifiedDrivingRecordsKey,"Unidentified Driving Records"
DOTDHF_dateInformation_24PeriodStartingTimeKey,"24-Period Starting Time"
DOTDHF_dateInformation_dateKey,"Record Date"
DOTDHF_dateInformation_timezoneKey,"Time Zone"
DOTDHF_dateInformation_title,Date
DOTDHF_driverInformation_coDriverNameKey,"Co-Driver Name"
DOTDHF_driverInformation_driverIdKey,"Driver ID"
DOTDHF_driverInformation_driverLicenseNumberKey,"Driver License Number"
DOTDHF_driverInformation_driverLicenseStateKey,"Driver License State"
DOTDHF_driverInformation_driverNameKey,"Driver Name"
DOTDHF_driverInformation_title,Driver
DOTDHF_eldInformation_eldIdKey,"ELD ID"
DOTDHF_eldInformation_eldProviderKey,"ELD Provider"
DOTDHF_eldInformation_title,ELD
DOTDHF_tractorInformation_currentEngineHoursKey,"Start - End Engine Hours"
DOTDHF_tractorInformation_currentOdometerKey,"Start - End Odometer"
DOTDHF_tractorInformation_title,Tractor
DOTDHF_tractorInformation_truckTractorIdKey,"Truck Tractor ID"
DOTDHF_tractorInformation_truckTractorVINKey,"Truck Tractor VIN"
DOTDHF_trailerInformation_title,Trailer
DOTDHF_trailerInformation_trailerIdKey,"Trailer ID"
DOTH_emailHOSLogDesc_text,"Email a PDF log export to any email address for inspection."
DOTH_emailHOSLogHeader_text,"Email a PDF Log Export"
DOTH_emailHOSLogsButton_text,"Send PDF Log File"
DOTH_emailHOSLogs_text,"EMAIL HOS LOGS"
DOTH_fmcsaImage_contentDesc,FMCSA
DOTH_headerDescription,"Please select a method for an inspector to review your logs. "
DOTH_inspectLogsOnDeviceButton_text,"Inspect Logs on Device"
DOTH_inspectLogsOnDeviceDesc_text,"Display logs on device for the inspector to view."
DOTH_inspectLogsOnDeviceHeader_text,"View Logs on Device"
DOTH_inspectionMode,"ELD Roadside Inspection"
DOTH_sendLogsButton_text,"Send Secure Log Data File"
DOTH_sendLogsDescText_text,"When you send logs, Maven Machines will securely upload your previous eight days of log information to the FMCSA. The inspector will then search for your information based on your name and driver information."
DOTH_sendLogsDesc_text,"Send a secure file for an inspector to view on their device."
DOTH_sendLogsHeader_text,"Send Secure Log File (USA)"
DOTIL_driverInformation_driverId,"Driver ID"
DOTIL_driverInformation_driverLicenseNumber,"Driver License Number"
DOTIL_driverInformation_driverLicenseState,"Driver License State"
DOTIL_driverInformation_driverName,"Driver Name"
DOTIL_driverInformation_title,"Driver Information"
DOTIL_eldInformation_eldId,"ELD ID"
DOTIL_eldInformation_eldManufacturer,"ELD Manufacturer"
DOTIL_eldInformation_title,"ELD Information"
DOTIL_inspectionItem_notAvailable,-
DOTLCF_dailyHeaderTab_title,"DAILY HEADER"
DOTLCF_eventsTab_title,EVENTS
DOTLCF_topBarLayout_arrowLeftDesc,Previous
DOTLCF_topBarLayout_arrowRightDesc,Next
DOTSLR_inspectLogsButton_text,"INSPECT LOGS ON DEVICE"
DOTSLR_resentLogsButton_text,"RESEND LOGS"
DOTSLR_sendingFailedErrorText_410,"Error 410 - The device is not able to connect to the internet."
DOTSLR_sendingFailedErrorText_all,"Error %1$d - %2$s"
DOTSLR_sendingFailedErrorText_default,"Oops, Something went wrong."
DOTSLR_sendingFailedErrorText_otherMessage,"Sorry the request could not be completed at this time."
DOTSLR_sendingFailedImage_contentDesc,"Sending failed."
DOTSLR_sendingFailedTitleText,"Send Unsuccessful."
DOTSLR_sendingSuccessImage_contentDesc,"Sending Success."
DOTSLR_sendingSuccess_text,"Success! Your logs were successfully uploaded to the FMCSA."
DOTSLR_success_FileReferenceNameKey,"File Reference Name"
DOTSLR_success_driverNameKey,"Driver Name"
DOTSLR_success_driverNameValue,"%1$s %2$s"
DOTSLR_success_eldProviderKey,"ELD Provider"
DOTSLR_success_licenseNumberKey,"License Number"
DOTSLR_success_outputFileComment,"Output File Comment"
DOTSL_sendingImage_contentDesc,"Sending Logs"
DOTSL_sendingLogsText_text,"Sending Logs to FMCSA…"
DOT_COMMENT_button_text,"Send Logs to FMCSA"
DOT_COMMENT_description_text,"Logs will be sent for the previous 8 days to the FMCSA. Once sent, this option cannot be undone."
DOT_COMMENT_doNotAdd_text,"This should be provided by an authorized safety official."
DOT_COMMENT_editText_hint,Comment
DOT_COMMENT_textFieldTitle_text,"Output File Comment"
DOT_COMMENT_title,"Send Logs to FMCSA"
DOT_inspectionItem_defaultKeyText,----
DOT_inspectionItem_defaultValueText,----
DPF_contactEmail,"Contact Email"
DPF_contactPhone,"Contact Phone"
DPF_driverLicenseNumber,"Driver's License Number"
DPF_driverLicenseNumber,"Driver's License Number"
DPF_driverLicenseState,"Driver's License State"
DPF_driverLicenseState,"Driver's License State"
DPF_driverName,"Driver Name"
DPF_driverNameFormat,"%1$s %2$s"
DPF_driverProfile,"Driver Profile"
DPF_edit,Edit
DPF_hrContactInformation,"HR Contact Information"
DPF_licenseInformation,"Commercial Driver's License"
DPF_loginId,"Login ID"
DPF_loginInformation,"Login Information"
DPF_password,Password
DPF_passwordValue,****
DPF_personalEmail,"Personal Email"
DPF_personalPhone,"Personal Phone"
DVIRMF_noVehicleCurrentlySelected,"No Vehicle Currently Selected"
DVIRMF_noVehicleCurrentlySelectedInfo,"To create a Vehicle Inspection Report, you must first select the vehicle you are inspecting."
DVIRMF_selectVehicleButtonText,"Select Vehicle"
DeepLink_host,accounts.mavenmachines.com
DeepLink_resetPasswordPathPrefix,/resetpw
DriverDash_arriveAtStop,Arrive
DriverDash_arrivingAt,"Arriving at:"
DriverDash_breakTimer,Break
DriverDash_cancel,Cancel
DriverDash_closeDashboard,"CLOSE DASHBOARD"
DriverDash_cycleTimer,Cycle
DriverDash_departFromStop,Depart
DriverDash_departingFrom,"Departing from:"
DriverDash_dismiss,Dismiss
DriverDash_driveTimer,Drive
DriverDash_etaIs,"ETA - %1$s"
DriverDash_hosTimers,"HOS Timers"
DriverDash_inMotion,"IN MOTION"
DriverDash_inViolation,"IN VIOLATION"
DriverDash_newMessage,"New Message"
DriverDash_nextStop,"Next Stop"
DriverDash_nextStops,"Next Stops"
DriverDash_noNewNotifications,"You have no new notifications."
DriverDash_noNotifications,"You have no notifications."
DriverDash_notifications,Notifications
DriverDash_partnerArriveAtAvailable,"arrived at %1$s"
DriverDash_partnerEtaAvailable,"ETA - %1$s"
DriverDash_partnerEtaText,"%1$s's %2$s %3$s"
DriverDash_partnerEtaUnavailable,"ETA is unavailable"
DriverDash_playAll,"PLAY ALL"
DriverDash_shiftTimer,Shift
DriverDash_snooze,Snooze
DriverDash_trailerString,"(%1$s) "
DriverDash_unknownDriver,"Relay driver"
DriverDash_violation,"%1$s TIME VIOLATION"
DriverDash_violationGeneric,VIOLATION
DriverDash_violationWarning,"%1$s TIME WARNING"
ECID_fleetNotFoundError,"Fleet code %1$s not found. Please check your code and try again."
ECID_invalidCompanyCodeErrorMessage,"Invalid code: %1$s. %2$s"
ECID_invalidCompanyCodeNullErrorMessage,"Fleet code must be 5 digits."
ECID_kioskModeInstructionText,"To login using a company ID, please enter your fleet code below. If you don't know your fleet code, please call your Maven fleet administrator."
ECID_verifyCodeButtonText,"Verify Code"
ECID_verifyingCodeButtonText,"Verifying Code…"
ECID_welcomeText,"Enter Company Identification Code"
EDPF_addPhoto,"<u>Add Photo</u>"
EDPF_cancelButtonText,Cancel
EDPF_comingSoon,"Coming Soon…"
EDPF_driverFirstName,"Driver First Name"
EDPF_driverLastName,"Driver Last Name"
EDPF_driverLicense,"Driver's License"
EDPF_driverLicenseInfo,"Required for Department of Transportation Inspections"
EDPF_driverLicenseNumber,"Driver License Number"
EDPF_editDriverProfileToolbarTitle,"Edit Driver Profile"
EDPF_enterLicenseNumber,"Please Enter Your License Number"
EDPF_generalErrorMessage,"Oops! Something went wrong."
EDPF_hrContactInformation,"HR Contact Information"
EDPF_informationIsPersonal,"This is your personal information used for logging into this mobile application. It is not visible to your employer"
EDPF_informationVisibleToEmployer,"This information is visible to your current fleet employers"
EDPF_personalEmail,"Personal Email"
EDPF_personalPhone,"Personal Phone"
EDPF_saveButtonText,Save
EDPF_selectLicenseState,"Please Select Your License State"
EDPF_state,State
EDPF_state,State
EDPF_successMessage,"Profile Successfully Updated"
EHOS_SERVER_ERROR,"Network error."
EHOS_SUCCESS_MESSAGE,"Request Successful!"
EHOS_button_text,"Send Logs"
EHOS_date_error_message,"Please fill in both the start and end date fields"
EHOS_date_prompt,"Date Range"
EHOS_email_error_message,"Please make sure that all email addresses entered are valid."
EHOS_email_hint,"Email Addresses"
EHOS_email_prompt,"Email Addresses to Send Logs To"
EHOS_end_hint,"End Date"
EHOS_header,"Email HOS Logs"
EHOS_heading,"Email HOS Logs"
EHOS_range_30_days,"Last 30 days"
EHOS_range_6_months,"Last 6 months"
EHOS_range_8_days,"Last 8 days"
EHOS_start_hint,"Start Date"
EHOS_title,"Email Logs"
EHOS_violations_prompt,"Include Violations in HOS report"
ELDAE_acceptEdits,"Accept Edits"
ELDAE_acceptingRejectingErrorMessage,"Something went wrong! Please try again in few minutes. If you still have issues, please contact your fleet administrator."
ELDAE_adminEditsRequested,"Admin edit requested"
ELDAE_adminHasEditedThisLog,"You have a pending admin edit to accept. Please review the changes and either accept or reject the changes."
ELDAE_admin_edit_accepted,"Edits Successfully Accepted"
ELDAE_admin_edit_cancelled,"Edits Successfully Canceled"
ELDAE_admin_edit_rejected,"Edits Successfully Rejected"
ELDAE_admin_edit_requested,"Edits Successfully Requested"
ELDAE_cancel,Cancel
ELDAE_cancelAdminEdit,"Cancel Admin Edit"
ELDAE_cancelRequestModalDialogMessage,"Are you sure you want to cancel this request?"
ELDAE_cancelRequestModalDialogNegativeButtonText,No
ELDAE_cancelRequestModalDialogPositiveButtonText,Yes
ELDAE_cancelRequestModalDialogTitle,"Cancel Request"
ELDAE_editsCouldNotBeMerged,"Edits Could Not Be Merged"
ELDAE_editsCouldNotBeRejected,"Edits Could Not Be Rejected"
ELDAE_finishingUpRejection,"Finishing Up Rejection"
ELDAE_mergingEdits,"Merging Edits"
ELDAE_noteForAdmin,"Note for Admin"
ELDAE_noteForAdminEditRejectError,"Please enter explanation for reject."
ELDAE_noteForAdminEditRequestError,"Please enter explanation for request."
ELDAE_reject,Reject
ELDAE_rejectAdminEdit,"Reject Admin Edit"
ELDAE_rejectEdits,"Reject Edits"
ELDAE_rejectingAdminEdits,"Rejecting Admin Edits"
ELDAE_request,Request
ELDAE_requestAdminEdit,"Request Admin Edit"
ELDAE_topBar_cannotEditLog,"You cannot edit this log because you have requested an admin edit"
ELDAIF_item_arrowDesc,"go to log"
ELDAIF_item_textDefault,-----
ELDAIF_item_titleDefault,-----
ELDAIF_noActionItemImage_contentDesc,"No Action Items"
ELDAIF_noActionItemsText,"Action Items will appear here when you have business to take care of."
ELDAIF_noActionItemsTitle,"You're All Caught Up"
ELDCCRS_rrulesetChangedSuccess,"Active Ruleset Successfully Changed."
ELDCCRS_rulesetChangedFailureCanadian,"Cannot change an individual log to Canadian ruleset"
ELDCCRS_rulesetChangedFailureCanadian,"Cannot change an individual log to Canadian ruleset"
ELDCF_loadingText,Loading…
ELDCRSFDL_canadianNorthCycleOneText,"Canada North — Cycle 1 (80hr / 7day)"
ELDCRSFDL_canadianNorthCycleOneText,"Canada North - Cycle 1 (80hr / 7day)"
ELDCRSFDL_canadianNorthCycleTwoText,"Canada North — Cycle 2 (120hr / 14day)"
ELDCRSFDL_canadianNorthCycleTwoText,"Canada North - Cycle 2 (120hr / 14day)"
ELDCRSFDL_canadianSouthCycleOneText,"Canada South — Cycle 1 (70hr / 7day)"
ELDCRSFDL_canadianSouthCycleOneText,"Canada South - Cycle 1 (70hr / 7day)"
ELDCRSFDL_canadianSouthCycleTwoText,"Canada South — Cycle 2 (120hr / 14day)"
ELDCRSFDL_canadianSouthCycleTwoText,"Canada South - Cycle 2 (120hr / 14day)"
ELDCRSFDL_changeDriverRulesetTitle,"Change Driver Ruleset"
ELDCRSFDL_changingRulesetMessage,"Changing Ruleset"
ELDCRSFDL_doneButtonText,Done
ELDCRSFDL_emptyRulesetErrorMessage,"Please select the ruleset to apply."
ELDCRSFDL_shortHaulDescriptionText,"USA Short Haul Property"
ELDCRSFDL_shortHaulPassengerDescriptionText,"USA Short Haul Passenger"
ELDCRSFDL_standardELDDescriptionText,"USA Property (70hr / 8day)"
ELDCRSFDL_subTitleTemplate,"For %s"
ELDCRSFDL_texas70DescriptionText,"Texas Intrastate (70hr / 7day)"
ELDCRSFDL_titleText,"Change This Log's Ruleset"
ELDCRT_certifyLogDateText,"Certified %1$s"
ELDCRT_certifyLogError,"Could not certify log."
ELDCRT_certifyLogLayout_acceptEditRecertifyButtonText,"Accept Edits and Recertify"
ELDCRT_certifyLogLayout_certifyButtonText,"CERTIFY LOG"
ELDCRT_certifyLogLayout_defaultTitleText,"Saturday, May 15, 2017"
