ACC_Weekend,"Fin de Semana"
APICall_createUser,"https://apigateway.mavenmachines.com/private/mobile/v1/users"
APICall_eld_accept_reject_or_cancel_admin_edit,"https://apigateway.mavenmachines.com/private/mobile/eld/edits/approval"
APICall_eld_check_admin_edit,"https://apigateway.mavenmachines.com/private/mobile/eld/edits/pending?employeeId=%s"
APICall_eld_config,"https://apigateway.mavenmachines.com/private/mobile/eld/config"
APICall_eld_dataSync,"https://apigateway.mavenmachines.com/private/mobile/eld/datasync"
APICall_eld_location,"https://apigateway.mavenmachines.com/public/mobile/eld/location?lat=%1$s&lng=%2$s"
APICall_eld_request_admin_edit,"https://apigateway.mavenmachines.com/private/mobile/eld/edits/request"
APICall_eld_sendToFMCSA,"https://apigateway.mavenmachines.com/private/mobile/eld/send-to-fmcsa"
APICall_eld_suggestedNotes,"https://apigateway.mavenmachines.com/private/mobile/eld/suggested-notes?employeeId=%1$s"
APICall_emailHOS,"https://apigateway.mavenmachines.com/private/mobile/reports/createHOSReport"
APICall_forgotPassword,"https://apigateway.mavenmachines.com/private/mobile/v1/users/forgotPassword"
APICall_getCompanyAssets,"https://apigateway.mavenmachines.com/private/mobile/assets?companyId=%1$s&lastUpdated=%2$s&assetType=%3$s"
APICall_getEmployee,"https://apigateway.mavenmachines.com/private/mobile/v1/employee?hrId=%1$s&companyId=%2$s"
APICall_getMavenTime,"https://apigateway.mavenmachines.com/public/mobile/maventime"
APICall_getPermissions,"https://apigateway.mavenmachines.com/private/mobile/v2/employee?employeeId=%1$s"
APICall_getUser,"https://apigateway.mavenmachines.com/private/mobile/users/%s"
APICall_login,"https://apigateway.mavenmachines.com/private/mobile/v1/users/login"
APICall_logout,"https://apigateway.mavenmachines.com/private/mobile/v1/users/logout"
APICall_post,"http://api.mavenmachines.com/post"
APICall_resetPassword,"https://apigateway.mavenmachines.com/private/mobile/v1/users/resetPassword"
APICall_sendEmail,"https://apigateway.mavenmachines.com/private/mobile/emails"
APICall_updateCompanyAsset,"https://apigateway.mavenmachines.com/private/mobile/assets/%s"
APICall_updateDriverProfileInformation,"https://apigateway.mavenmachines.com/private/mobile/users/%s"
APICall_updateDrivingTrip,"https://apigateway.mavenmachines.com/private/mobile/drivingTrip/%s"
APICall_verifySignupCode,"https://apigateway.mavenmachines.com/private/mobile/v1/users/verifySignupCode"
AUF_autoSignOutToast,"Se terminó la sesión en automático debido a sesión inválida"
AUF_forgot_password,"<u> ¿Olvidó su contraseña?</u>"
AUF_help_support,"<u>Ayuda &amp; Soporte</u>"
AUF_logoutExplanationAutomatic,"Has sido desconectado automáticamente."
AUF_logoutExplanationManual,"Has sido desconectado."
AUF_signIn,"Iniciar sesión"
AUF_signingIn,"Iniciando sesión…"
AUTH_FLOW_cancelLogoutButtonText,"Cancelar Cierre de Sesión"
AUTH_FLOW_drivePromptTitleText,"Todavía estás en Drive"
AUTH_FLOW_driveTitleInfoCompletion,"Maneja"
AUTH_FLOW_dutyStatusChangeNote,"Desconectado del dispositivo"
AUTH_FLOW_goOFFLogoutButtonText,"FUERA DE SERVICIO y cierre la sesión"
AUTH_FLOW_goONLogoutButtonText,"Ir DE SERVICIO y cerrar sesión"
AUTH_FLOW_goSBLogoutButtonText,"Entrar en SB y cerrar sesión"
AUTH_FLOW_loggingOutButtonText,"Cerrando sesión…"
AUTH_FLOW_onDutyPromptTitleText,"Todavía estás de Servicio"
AUTH_FLOW_onDutyTitleInfoCompletion,"En Servicio"
AUTH_FLOW_promptInfoText,"Por favor seleccione un estado de servicio antes de cerrar la sesión."
AUTH_FLOW_remainInDriveLogoutButtonText,"Permanecer en DRIVE y cerrar sesión"
AUTH_FLOW_remainOnDutyLogoutButtonText,"Permanezca EN SERVICIO y cierre la sesión"
AU_error_OOPS,"Huy! Algo salió mal."
AU_error_askForHelp,"Huy! Algo salió mal.<br> Toque aquí para obtener ayuda."
AU_error_enterValidEmailPhone,"Por favor introduzca una dirección de correo electrónico o un número de teléfono válidos."
AU_error_enterValidPassword,"Por favor introduzca una contraseña válida."
AU_error_httpGone,"Huy! Algo salió mal.<br> Por favor revise su conexión a internet."
AU_error_invalidEmail,"Por favor, introduzca una dirección de correo electrónico válida."
AU_error_invalidPhoneNumber,"Por favor ingrese un número de teléfono válido."
AU_error_passwordMismatch,"Las contraseñas no coinciden."
BCBW_checked,"Revisado"
BCBW_unchecked,"Sin Checar"
BSD_title,"Escaneo de código de barras"
BSD_warning,"Código de barras `%1$s` inválido %2$s"
BSD_warningEmpty,"Código de barras inválido %1$s"
CAMFRAG_alignment_overlay_text,"Hacer Coincidir el Papel con el Marco"
CAMFRAG_detection_result_bad_angle,"Ángulo incorrecto"
CAMFRAG_detection_result_dark,"Demasiado oscuro"
CAMFRAG_detection_result_noisy,"Demasiado Ruidoso"
CAMFRAG_detection_result_nothing,"Doc no encontrado"
CAMFRAG_detection_result_off_center,"Fuera del centro"
CAMFRAG_detection_result_ok,"OK"
CAMFRAG_detection_result_perspective,"Perspectiva incorrecta"
CAMFRAG_detection_result_small,"Muévete más cerca"
CAMFRAG_error_camera_connect,"No se puede conectar a la cámara en este momento."
CAMFRAG_error_request_permission,"No se pueden obtener los permisos de la cámara en este momento."
CAMFRAG_hold_device_still,"Tomando foto. Mantenga el dispositivo inmóvil."
CAMFRAG_instruction,"Tomar foto de %1$s"
CAMFRAG_processing,"Procesando …"
CETB_editButtonText,"Editar"
CF_barcodeTypeProNumber,"Número PRO"
CF_invalidBarcodesFound,"Inválido %1$s encontrado"
CF_noBarcodesFound,"No %1$s encontrado"
CF_validBarcodesFound,"%1$s %2$s encontrado"
CL_autoLogoutPopup_buttonText,"Descartar"
CL_autoLogoutPopup_text,"Ha sido puesto automáticamente fuera de servicio por tener un turno que dura más de 24 horas."
CL_breakFinishedAlert_audio,"El reloj de descanso llegó a cero. Si ha terminado, presione el botón de terminar para marcar su descanso completado"
CL_breakFinishedAlert_inapp,"Tiempo de descanso completo<br>Presione terminar"
CL_breakFinishedAlert_notification,"Descanso completo. Presione para abrir la aplicación y marque como completo."
CL_halfHourAlert_meal_audio,"Hola, este es tu recordatorio de descanso de Maven. Las regulaciones exigen 30 minutos en la próxima media hora. Conduce con cuidado."
CL_halfHourAlert_meal_audio_first,"Hola, este es tu recordatorio de descanso de Maven. Las regulaciones exigen un descanso de 30 minutos en la próxima media hora. Conduce con cuidado."
CL_halfHourAlert_meal_inapp,"Comida requerida <br>Pausa para comer de 30 minutos"
CL_halfHourAlert_meal_inapp_first,"Comida requerida <br>Pausa para comer de 30 minutos"
CL_halfHourAlert_meal_notification,"Pare pronto para un descanso para comer de 30 minutos"
CL_halfHourAlert_meal_notification_first,"Pare pronto para un descanso para comer de 30 minutos"
CL_halfHourAlert_ten_audio,"Hola, este es tu recordatorio de descanso de Maven. Las regulaciones exigen 10 minutos en la próxima media hora. Conduce con cuidado."
CL_halfHourAlert_ten_audio_first,"Hola, este es tu servicio de recordatorio de descanso de Maven. Mi trabajo es informarte que tomes tu descanso pagado de 10 minutos. Esta alerta marca treinta minutos antes de llegar a las 4 horas de servicio. Conduce con cuidado."
CL_halfHourAlert_ten_inapp,"Descanso requerido<br>Descanso pagado de 10 minutos"
CL_halfHourAlert_ten_inapp_first,"Quedan 30 Minutos <br>Descanso pronto!"
CL_halfHourAlert_ten_notification,"Pare para un descanso de 10 minutos pronto."
CL_halfHourAlert_ten_notification_first,"La ley de CA requiere que descanse"
CL_help_dialog_title,"La Ley Laboral de California"
CL_help_text_1,"La Ley Laboral de CA (C. 226. 7) requiere que tome un descanso pagado de 10 minutos."
CL_help_text_2,"Para comenzar su turno, mantenga presionado el botón "Go On Duty" durante 2 segundos. Inmediatamente, dos cronómetros cuentan el tiempo que queda antes de los descansos de 10 o 30 minutos."
CL_help_text_3,"Para tomar un descanso, deslice hacia arriba la barra del temporizador y mantenga presionado el botón "Tomar descanso" correspondiente para confirmar su descanso."
CL_help_text_4,"Ahora un temporizador muestra el tiempo de descanso restante. Para finalizar el descanso, en cualquier momento mantenga presionado el botón "Finalizar descanso" durante 2 segundos"
CL_help_text_5,"Para salir del servicio, deslice la barra del temporizador hacia arriba y mantenga presionado el botón "Salir del servicio" durante 2 segundos. Finalmente, accederá a su resumen diario para revisar su día."
CL_help_text_6,"¡Maneje Seguro!"
CL_onDutyPopup_buttonText1,"Jornada laboral continua"
CL_onDutyPopup_buttonText2,"Nuevo Día de Trabajo"
CL_onDutyPopup_text,"¿Está continuando el día de trabajo anterior o comenzando uno nuevo?"
CL_stoppedDrivingAlert_audio,"Hola, este es tu recordatorio de descanso de Maven. ¿Es ahora un buen momento para comenzar su descanso requerido de 10 minutos? Si no, te lo puedo recordar más tarde."
CL_stoppedDrivingAlert_audio_first,"Hola, bienvenido a tu nuevo Copiloto Maven. Estoy aquí para ayudarte a cumplir con la ley laboral de California. La ley establece que debes tomar un descanso de 10 minutos en las primeras 4 horas de servicio. Al sentir que tu camión está detenido, te recordaré brevemente que este puede ser un tiempo de descanso eficiente. Conduce con cuidado."
CL_stoppedDrivingAlert_inapp,"Alerta de Descanso Maven<br>10 min ¿Descansar ahora?"
CL_stoppedDrivingAlert_inapp_first,"La ley de CA requiere que 10 min<br>Descanso en las primeras 4 horas<br>Descanso ahora?"
CL_stoppedDrivingAlert_notification,"¿Buen momento para un descanso de 10 minutos?"
CL_stoppedDrivingAlert_notification_first,"¿Tomar un descanso de 10 minutos? Requisito de la ley de CA."
CL_twoHourAlert_audio,"Hola, este es su copiloto Maven con un recordatorio anticipado. tienes dos horas restantes para completar tu descanso pagado de 10 minutos. Conduce con cuidado."
CL_twoHourAlert_audio_first,"Hola, bienvenido a tu nuevo copiloto Maven. Estoy aquí para ayudarte a cumplir con la ley laboral de California. La ley establece que debes tomar un descanso de 10 minutos en las primeras 4 horas de servicio. Has estado en servicio durante dos horas y, por lo tanto, te quedan dos horas para completar un descanso pagado de 10 minutos. Conduce con cuidado."
CL_twoHourAlert_inapp,"En servicio = 2 hrs<br> Planifica un descanso de 10 minutos!"
CL_twoHourAlert_inapp_first,"La ley de CA requiere un 10-minutos<br> Descanso en las primeras 4 horas <br>Planee su descanso!"
CL_twoHourAlert_notification,"Recordatorio amistoso de descanso de Maven"
CL_twoHourAlert_notification_first,"Planifique un descanso de 10 minutos según la ley de CA"
CSTB_saveButtonText,"Guardar"
CUDEF_drivesCountAndMilesText,"%1$d movimientos  %2$.2f millas"
CUDEF_previousEightDays,"8 días anteriores"
CUDEI_claimedButtonText,"Reclamado"
CUTF_backButtonText,"Atrás"
CUTF_errorClaimingMovements,"Error al reclamar los movimientos de %s"
CUTF_errorConflictingMovements,"¡Error! Tienes un movimiento contradictorio."
CUTF_errorFetchingMovements,"Debes estar en línea para reclamar movimientos de vehículos."
CUTF_toolbarTitleText,"Reclamar viajes no asignados"
CUTF_tripLocationText,"%1$s a %2$s"
CW_trip_tripActiveCompletedOnTitle,"VIAJE COMPLETADO el"
CW_trip_tripActiveCompletedTitle,"VIAJE COMPLETADO:"
CW_trip_tripActiveTimeTitle,"TIEMPO ACTIVO:"
CW_trip_tripStartedOnTitle,"VIAJE COMENZADO el"
CW_trip_tripStartedTitle,"VIAJE COMENZADO:"
CW_workflow_action_accept_trip,"Acepte el viaje"
CW_workflow_action_arrive_stop,"Parada de llegada"
CW_workflow_action_depart_stop,"Parada de Salida"
CW_workflow_action_end_trip,"Ingresar Viaje"
CW_workflow_action_skip_stop,"Saltar Parada"
CW_workflow_action_start_trip,"Iniciar Viaje"
CW_workflow_action_submit_form,"Enviar Forma"
CW_workflow_action_swap,"Ingresar Swap"
DD_notificaiton_speech_lunch_stop_added,"Mensaje nuevo │ %1$s. Parada de almuerzo agregada."
DD_notification_speech_close_time,"Cerrar tiempo %1$s."
DD_notification_speech_new_message,"Mensaje nuevo %1$s. De %2$s: %3$s"
DD_notification_speech_route_added,"Mensaje nuevo │ %1$s. Nueva ruta agregada."
DD_notification_speech_route_rearranged,"Mensaje nuevo │ %1$s. Ruta reacomodada"
DD_notification_speech_stop_added,"Mensaje nuevo │ %1$s. %2$s agregado. %3$s. %4$s %5$s."
DD_notification_speech_stop_cancelled,"Mensaje nuevo │ %1$s. %2$s cancelado. %3$s. %4$s %5$s."
DD_notification_speech_stop_modified,"Mensaje nuevo │ %1$s. %2$s modificado. %3$s. %4$s %5$s."
DD_notification_speech_stop_removed,"Mensaje nuevo │ %1$s. %2$s eliminado. %3$s. %4$s %5$s."
DD_notification_speech_stop_split,"Mensaje nuevo │ %1$s. %2$s dividido. %3$s. %4$s %5$s."
DD_notification_speech_target_type_delivery,"entrega"
DD_notification_speech_target_type_pickup,"recolección"
DL_completeStop,"Para usar Maven, detenga el vehículo por completo."
DL_inMotion,"Vehículo en Movimiento"
DOTDHF_carrierInformation_carrierNameKey,"Transportador"
DOTDHF_carrierInformation_title,"Transportador"
DOTDHF_currentDriveInformation_currentLocationKey,"Ubicación Actual"
DOTDHF_currentDriveInformation_dataDiagnosticKey,"Drivers Estatus diagnóstico de datos"
DOTDHF_currentDriveInformation_exemptDriverStatusKey,"Estado del Conductor Exento"
DOTDHF_currentDriveInformation_malfunctionIndicatorKey,"Indicadores de mal funcionamiento de ELD"
DOTDHF_currentDriveInformation_milesTodayKey,"Millas Hoy"
DOTDHF_currentDriveInformation_shippingIdKey,"ID de Envío"
DOTDHF_currentDriveInformation_title,"Unidad Actual"
DOTDHF_currentDriveInformation_unidentifiedDrivingRecordsKey,"Registros de Conducción no Identificados"
DOTDHF_dateInformation_24PeriodStartingTimeKey,"24-Tiempo de Inicio del Periodo"
DOTDHF_dateInformation_dateKey,"Grabar fecha"
DOTDHF_dateInformation_timezoneKey,"Zona Horaria"
DOTDHF_dateInformation_title,"Fecha"
DOTDHF_driverInformation_coDriverNameKey,"Nombre del copiloto"
DOTDHF_driverInformation_driverIdKey,"Identificación del conductor"
DOTDHF_driverInformation_driverLicenseNumberKey,"Número de Licencia de Conducir del Conductor"
DOTDHF_driverInformation_driverLicenseStateKey,"Estado de la Licencia de Conducir"
DOTDHF_driverInformation_driverNameKey,"Nombre del Conductor"
DOTDHF_driverInformation_title,"Conductor"
DOTDHF_eldInformation_eldIdKey,"Identificación ELD"
DOTDHF_eldInformation_eldProviderKey,"Proveedor de ELD"
DOTDHF_eldInformation_title,"ELD"
DOTDHF_tractorInformation_currentEngineHoursKey,"Inicio - Finalización de horas de motor"
DOTDHF_tractorInformation_currentOdometerKey,"Inicio - Cuentakilómetros final"
DOTDHF_tractorInformation_title,"Tractor"
DOTDHF_tractorInformation_truckTractorIdKey,"ID de Tractor de Camión"
DOTDHF_tractorInformation_truckTractorVINKey,"Camión Tractor VIN"
DOTDHF_trailerInformation_title,"Remolque"
DOTDHF_trailerInformation_trailerIdKey,"ID de Remolque"
DOTH_emailHOSLogDesc_text,"Envíe por correo electrónico una exportación de registro en PDF a cualquier dirección de correo electrónico para su inspección."
DOTH_emailHOSLogHeader_text,"Enviar por correo electrónico una exportación de registros en PDF"
DOTH_emailHOSLogsButton_text,"Enviar archivo de registro PDF"
DOTH_emailHOSLogs_text,"REGISTROS DE CORREO ELECTRÓNICO HOS"
DOTH_fmcsaImage_contentDesc,"FMCSA"
DOTH_headerDescription,"Por favor seleccione un método para que un inspector revise sus registros. "
DOTH_inspectLogsOnDeviceButton_text,"Inspeccionar registros en el dispositivo"
DOTH_inspectLogsOnDeviceDesc_text,"Mostrar registros en el dispositivo para que los vea el inspector."
DOTH_inspectLogsOnDeviceHeader_text,"Ver registros en el dispositivo"
DOTH_inspectionMode,"Inspección en carretera ELD"
DOTH_sendLogsButton_text,"Enviar Archivo de Datos de Registro Seguro"
DOTH_sendLogsDescText_text,"Cuando envíe registros, Maven Machines cargará de forma segura la información de registro de los ocho días anteriores a la FMCSA. Luego, el inspector buscará su información según su nombre y la información del conductor."
DOTH_sendLogsDesc_text,"Envíe un archivo seguro para que un inspector lo vea en su dispositivo."
DOTH_sendLogsHeader_text,"Enviar archivo de registro seguro (EE. UU.)"
DOTIL_driverInformation_driverId,"Identificación del conductor"
DOTIL_driverInformation_driverLicenseNumber,"Número de Licencia de Conducir del Conductor"
DOTIL_driverInformation_driverLicenseState,"Estado de la Licencia de Conducir"
DOTIL_driverInformation_driverName,"Nombre del Conductor"
DOTIL_driverInformation_title,"Información del conductor"
DOTIL_eldInformation_eldId,"Identificación ELD"
DOTIL_eldInformation_eldManufacturer,"Fabricante ELD"
DOTIL_eldInformation_title,"Información ELD"
DOTLCF_dailyHeaderTab_title,"ENCABEZAMIENTO DIARIO"
DOTLCF_eventsTab_title,"EVENTOS"
DOTLCF_topBarLayout_arrowLeftDesc,"Anterior"
DOTLCF_topBarLayout_arrowRightDesc,"Siguiente"
DOTSLR_inspectLogsButton_text,"INSPECCIONE LOS REGISTROS EN EL DISPOSITIVO"
DOTSLR_resentLogsButton_text,"REENVIAR REGISTROS"
DOTSLR_sendingFailedErrorText_410,"Error 410 - El dispositivo no puede conectarse a Internet."
DOTSLR_sendingFailedErrorText_all,"Error %1$d - %2$s"
DOTSLR_sendingFailedErrorText_default,"Huy! Algo salió mal."
DOTSLR_sendingFailedErrorText_otherMessage,"Lo sentimos, la solicitud no se pudo completar en este momento."
DOTSLR_sendingFailedImage_contentDesc,"Envío fallido."
DOTSLR_sendingFailedTitleText,"Envío Fallido."
DOTSLR_sendingSuccessImage_contentDesc,"Envío exitoso."
DOTSLR_sendingSuccess_text,"¡Éxito! Sus registros se cargaron con éxito en la FMCSA."
DOTSLR_success_FileReferenceNameKey,"Nombre de Referencia del Archivo"
DOTSLR_success_driverNameKey,"Nombre del Conductor"
DOTSLR_success_eldProviderKey,"Proveedor de ELD"
DOTSLR_success_licenseNumberKey,"Número de licencia"
DOTSLR_success_outputFileComment,"Comentario del Archivo de Salida"
DOTSL_sendingImage_contentDesc,"Enviando Registros"
DOTSL_sendingLogsText_text,"Enviando Registros a FMCSA…"
DOT_COMMENT_button_text,"Enviar Registros a FMCSA"
DOT_COMMENT_description_text,"Se enviarán registros de los 8 días anteriores a la FMCSA. Una vez enviados, esta opción no se puede deshacer."
DOT_COMMENT_doNotAdd_text,"Esto debe ser proporcionado por un oficial de seguridad autorizado."
DOT_COMMENT_editText_hint,"Comentar"
DOT_COMMENT_textFieldTitle_text,"Comentario del Archivo de Salida"
DOT_COMMENT_title,"Enviar Registros a FMCSA"
DPF_contactEmail,"Correo electrónico de contacto"
DPF_contactPhone,"Teléfono de contacto"
DPF_driverLicenseNumber,"Número de Licencia de Conducir"
DPF_driverLicenseState,"Estado de Licencia de Conducir"
DPF_driverName,"Nombre del Conductor"
DPF_driverProfile,"Perfil del Conductor"
DPF_edit,"Editar"
DPF_hrContactInformation,"Información de contacto de recursos humanos"
DPF_licenseInformation,"Licencia de conducir comercial"
DPF_loginId,"Identificación para inicio de sesión"
DPF_loginInformation,"Información para inicio de sesión"
DPF_password,"Contraseña"
DPF_personalEmail,"Correo electrónico personal"
DPF_personalPhone,"Teléfono Personal"
DVIRMF_noVehicleCurrentlySelected,"Ningún Vehículo Actualmente Seleccionado"
DVIRMF_noVehicleCurrentlySelectedInfo,"Para crear un Informe de inspección del vehículo, primero debe seleccionar el vehículo que está inspeccionando."
DVIRMF_selectVehicleButtonText,"Seleccionar Vehículo"
DeepLink_host,"accounts.mavenmachines.com"
DeepLink_resetPasswordPathPrefix,"/resetpw"
DriverDash_arriveAtStop,"Llegada"
DriverDash_arrivingAt,"Llegando a las:"
DriverDash_breakTimer,"Descanso "
DriverDash_cancel,"Cancelar"
DriverDash_closeDashboard,"CERRAR TABLERO"
DriverDash_cycleTimer,"Ciclo"
DriverDash_departFromStop,"Salir"
DriverDash_departingFrom,"Saliendo de:"
DriverDash_dismiss,"Descartar"
DriverDash_driveTimer,"Maneja"
DriverDash_etaIs,"Hora estimada de llegada - %1$s"
DriverDash_hosTimers,"Temporizadores HOS"
DriverDash_inMotion,"EN MOVIMIENTO"
DriverDash_inViolation,"EN VIOLACIÓN"
DriverDash_newMessage,"Mensaje Nuevo"
DriverDash_nextStop,"Siguiente Parada"
DriverDash_nextStops,"Siguientes Paradas"
DriverDash_noNewNotifications,"No tienes notificaciones nuevas."
DriverDash_noNotifications,"No tienes notificaciones."
DriverDash_notifications,"Notificaciones"
DriverDash_partnerArriveAtAvailable,"llegó a las %1$s"
DriverDash_partnerEtaAvailable,"Hora estimada de llegada - %1$s"
DriverDash_partnerEtaText,"%1$s's %2$s %3$s"
DriverDash_partnerEtaUnavailable,"Hora estimada de llegada no disponible"
DriverDash_playAll,"REPRODUCIR TODO"
DriverDash_shiftTimer,"Turno"
DriverDash_snooze,"Siesta"
DriverDash_unknownDriver,"Conductor de retransmisión"
DriverDash_violation,"%1$s VIOLACIÓN DE TIEMPO"
DriverDash_violationGeneric,"VIOLACIÓN"
DriverDash_violationWarning,"%1$s AVISO DE TIEMPO"
ECID_fleetNotFoundError,"No se encontró el código de flota %1$s. Comprueba tu código e inténtalo de nuevo."
ECID_invalidCompanyCodeErrorMessage,"Código Invalido: %1$s. %2$s"
ECID_invalidCompanyCodeNullErrorMessage,"El código de flota debe tener 5 dígitos."
ECID_kioskModeInstructionText,"Para iniciar sesión con una ID de empresa, ingrese su código de flota a continuación. Si no conoce el código de su flota, llame a su administrador de flota de Maven."
ECID_verifyCodeButtonText,"Código de verificación"
ECID_verifyingCodeButtonText,"Verificando Código…"
ECID_welcomeText,"Ingrese el Código de Identificación de la Empresa"
EDPF_addPhoto,"<u>Agregar foto</u>"
EDPF_cancelButtonText,"Cancelar"
EDPF_comingSoon,"Llega pronto…"
EDPF_driverFirstName,"Nombre de pila del conductor"
EDPF_driverLastName,"Apellido del Conductor"
EDPF_driverLicense,"Licencia de Conducir"
EDPF_driverLicenseInfo,"Requerido para las Inspecciones del Departamento de Transporte"
EDPF_driverLicenseNumber,"Número de Licencia de Conducir del Conductor"
EDPF_editDriverProfileToolbarTitle,"Editar perfil de conductor"
EDPF_enterLicenseNumber,"Por favor Ingrese su Número de Licencia"
EDPF_generalErrorMessage,"Huy! Algo salió mal."
EDPF_hrContactInformation,"Información de contacto de recursos humanos"
EDPF_informationIsPersonal,"Esta es su información personal utilizada para iniciar sesión en esta aplicación móvil. No es visible para su empleador"
EDPF_informationVisibleToEmployer,"Esta información es visible para los empleadores de su flota actual"
EDPF_personalEmail,"Correo electrónico personal"
EDPF_personalPhone,"Teléfono Personal"
EDPF_saveButtonText,"Guardar"
EDPF_selectLicenseState,"Por favor seleccione el estado de su licencia"
EDPF_state,"Estado"
EDPF_successMessage,"Perfil Actualizado con éxito"
EHOS_SERVER_ERROR,"Error de red."
EHOS_SUCCESS_MESSAGE,"¡Solicitud exitosa!"
EHOS_button_text,"Enviar Registros"
EHOS_date_error_message,"Por favor complete los campos de fecha de inicio y finalización"
EHOS_date_prompt,"Rango de Fecha"
EHOS_email_error_message,"Por favor asegúrese de que todas las direcciones de correo electrónico ingresadas sean válidas."
EHOS_email_hint,"Correos electrónicos"
EHOS_email_prompt,"Direcciones de correo electrónico para enviar registros"
EHOS_end_hint,"Fecha final"
EHOS_header,"Registros de HOS por correo electrónico"
EHOS_heading,"Registros de HOS por correo electrónico"
EHOS_range_30_days,"Últimos 30 días"
EHOS_range_6_months,"Últimos 6 meses"
EHOS_range_8_days,"Últimos 8 días"
EHOS_start_hint,"Fecha de Inicio"
EHOS_title,"Registros de correo electrónico"
EHOS_violations_prompt,"Incluir infracciones en el informe HOS"
ELDAE_acceptEdits,"Acepte los cambios"
ELDAE_acceptingRejectingErrorMessage,"¡Algo salió mal! Vuelva a intentarlo en unos minutos. Si aún tiene problemas, comuníquese con el administrador de su flota."
ELDAE_adminEditsRequested,"Actualización de Administración pedida"
ELDAE_adminHasEditedThisLog,"Tiene una edición de administrador pendiente por aceptar. Revise los cambios y acepte o rechace los cambios."
ELDAE_admin_edit_accepted,"Ediciones Aceptadas con Éxito"
ELDAE_admin_edit_cancelled,"Ediciones Aceptadas con Éxito"
ELDAE_admin_edit_rejected,"Ediciones Aceptadas con Éxito"
ELDAE_admin_edit_requested,"Ediciones Solicitadas con Éxito"
ELDAE_cancel,"Cancelar"
ELDAE_cancelAdminEdit,"Cancelar cambio Admin"
ELDAE_cancelRequestModalDialogMessage,"¿Está seguro de que quiere cancelar la solicitud?"
ELDAE_cancelRequestModalDialogNegativeButtonText,"No"
ELDAE_cancelRequestModalDialogPositiveButtonText,"Si"
ELDAE_cancelRequestModalDialogTitle,"Cancelar Solicitud"
ELDAE_editsCouldNotBeMerged,"Las ediciones no se pudieron combinar"
ELDAE_editsCouldNotBeRejected,"No se pudieron rechazar las ediciones"
ELDAE_finishingUpRejection,"Finalizar con el Rechazo"
ELDAE_mergingEdits,"Combinación de Ediciones"
ELDAE_noteForAdmin,"Nota para el Administrador"
ELDAE_noteForAdminEditRejectError,"Por favor ingrese una explicación para el rechazo."
ELDAE_noteForAdminEditRequestError,"Por favor, introduzca la explicación de la solicitud."
ELDAE_reject,"Rechazar"
ELDAE_rejectAdminEdit,"Rechazar edición de administrador"
ELDAE_rejectEdits,"Rechazar ediciones"
ELDAE_rejectingAdminEdits,"Rechazando ediciones de administrador"
